date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:47:27	69522/69522	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Jul%202023%2020:51:35%20GMT	https://financemagnow.com/investing_essentials.html	C:/Users/user/Desktop/frontend/finance/financemagnow.com/investing_essentials.html	(from https://financemagnow.com/)
09:47:28	68905/68905	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Jul%202023%2020:53:29%20GMT	https://financemagnow.com/trading_essentials.html	C:/Users/user/Desktop/frontend/finance/financemagnow.com/trading_essentials.html	(from https://financemagnow.com/)
09:47:29	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2013%20Jan%202024%2008:47:28%20GMT	https://financemagnow.com/news-4427706	C:/Users/user/Desktop/frontend/finance/financemagnow.com/news-4427706	(from https://financemagnow.com/)
09:47:29	45315/45315	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Jul%202023%2020:50:11%20GMT	https://financemagnow.com/cryptocurrency_news.html	C:/Users/user/Desktop/frontend/finance/financemagnow.com/cryptocurrency_news.html	(from https://financemagnow.com/)
09:47:30	45317/45317	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Jul%202023%2020:51:56%20GMT	https://financemagnow.com/personal_finance_news.html	C:/Users/user/Desktop/frontend/finance/financemagnow.com/personal_finance_news.html	(from https://financemagnow.com/)
09:47:31	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2013%20Jan%202024%2008:47:30%20GMT	https://financemagnow.com/personal-finance-4427760	C:/Users/user/Desktop/frontend/finance/financemagnow.com/personal-finance-4427760	(from https://financemagnow.com/)
09:47:31	45308/45308	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Jul%202023%2020:53:53%20GMT	https://financemagnow.com/wealth_management.html	C:/Users/user/Desktop/frontend/finance/financemagnow.com/wealth_management.html	(from https://financemagnow.com/)
09:47:32	45307/45307	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Jul%202023%2020:49:03%20GMT	https://financemagnow.com/budgeting_saving.html	C:/Users/user/Desktop/frontend/finance/financemagnow.com/budgeting_saving.html	(from https://financemagnow.com/)
09:47:34	45310/45310	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Jul%202023%2020:48:22%20GMT	https://financemagnow.com/best_online_brokers.html	C:/Users/user/Desktop/frontend/finance/financemagnow.com/best_online_brokers.html	(from https://financemagnow.com/)
09:47:35	45311/45311	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Jul%202023%2020:48:42%20GMT	https://financemagnow.com/best_savings_account.html	C:/Users/user/Desktop/frontend/finance/financemagnow.com/best_savings_account.html	(from https://financemagnow.com/)
09:47:36	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2013%20Jan%202024%2008:47:35%20GMT	https://financemagnow.com/financial-advisor-4427709	C:/Users/user/Desktop/frontend/finance/financemagnow.com/financial-advisor-4427709	(from https://financemagnow.com/)
09:47:37	45310/45310	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Jul%202023%2020:52:21%20GMT	https://financemagnow.com/practice_management.html	C:/Users/user/Desktop/frontend/finance/financemagnow.com/practice_management.html	(from https://financemagnow.com/)
09:47:37	45317/45317	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Jul%202023%2020:50:56%20GMT	https://financemagnow.com/financial_advisor_career.html	C:/Users/user/Desktop/frontend/finance/financemagnow.com/financial_advisor_career.html	(from https://financemagnow.com/)
09:47:38	121230/121230	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Jul%202023%2020:46:36%20GMT	https://financemagnow.com/index.html	C:/Users/user/Desktop/frontend/finance/financemagnow.com/index-2.html	(from https://financemagnow.com/)
09:47:39	58458/58458	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Jul%202023%2020:49:52%20GMT	https://financemagnow.com/contact.html	C:/Users/user/Desktop/frontend/finance/financemagnow.com/contact.html	(from https://financemagnow.com/)
09:47:40	45309/45309	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Jul%202023%2020:51:16%20GMT	https://financemagnow.com/financial_planning.html	C:/Users/user/Desktop/frontend/finance/financemagnow.com/financial_planning.html	(from https://financemagnow.com/)
09:47:40	17800/17800	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2020%20Apr%202023%2012:50:35%20GMT	https://financemagnow.com/assets/img/FM_dark.svg	C:/Users/user/Desktop/frontend/finance/financemagnow.com/assets/img/FM_dark.svg	(from https://financemagnow.com/)
09:47:43	238324/238324	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Apr%202023%2012:50:35%20GMT	https://financemagnow.com/assets/img/FlexShares.png	C:/Users/user/Desktop/frontend/finance/financemagnow.com/assets/img/FlexShares.png	(from https://financemagnow.com/)
09:47:44	69365/69365	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Apr%202023%2012:50:35%20GMT	https://financemagnow.com/assets/img/Michael%20Kitces.png	C:/Users/user/Desktop/frontend/finance/financemagnow.com/assets/img/Michael%20Kitces.png	(from https://financemagnow.com/)
09:47:49	2344567/2344567	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2020%20Apr%202023%2012:50:35%20GMT	https://financemagnow.com/assets/img/Top%20100.svg	C:/Users/user/Desktop/frontend/finance/financemagnow.com/assets/img/Top%20100.svg	(from https://financemagnow.com/)
09:47:50	102840/102840	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Apr%202023%2012:50:35%20GMT	https://financemagnow.com/assets/img/Taylor%20Schulte.png	C:/Users/user/Desktop/frontend/finance/financemagnow.com/assets/img/Taylor%20Schulte.png	(from https://financemagnow.com/)
09:47:51	127293/127293	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Apr%202023%2012:50:35%20GMT	https://financemagnow.com/assets/img/Jedraa-Barett.png	C:/Users/user/Desktop/frontend/finance/financemagnow.com/assets/img/Jedraa-Barett.png	(from https://financemagnow.com/)
09:47:53	56439/56439	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Apr%202023%2012:50:35%20GMT	https://financemagnow.com/assets/img/Rita%20Cheng.png	C:/Users/user/Desktop/frontend/finance/financemagnow.com/assets/img/Rita%20Cheng.png	(from https://financemagnow.com/)
09:47:54	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2013%20Jan%202024%2008:47:53%20GMT	https://financemagnow.com/assets/img/RitaCheng_financemagnow_top_10.png	C:/Users/user/Desktop/frontend/finance/financemagnow.com/assets/img/RitaCheng_financemagnow_top_10.1f.delayed	(from https://financemagnow.com/)
09:47:55	83966/83966	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Apr%202023%2012:50:35%20GMT	https://financemagnow.com/assets/img/Ron%20Carson.png	C:/Users/user/Desktop/frontend/finance/financemagnow.com/assets/img/Ron%20Carson.png	(from https://financemagnow.com/)
09:47:56	62763/62763	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Apr%202023%2012:50:35%20GMT	https://financemagnow.com/assets/img/Peter%20Lazaroff.png	C:/Users/user/Desktop/frontend/finance/financemagnow.com/assets/img/Peter%20Lazaroff.png	(from https://financemagnow.com/)
09:47:57	647420/647420	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Apr%202023%2012:50:35%20GMT	https://financemagnow.com/assets/img/hero_bg.png	C:/Users/user/Desktop/frontend/finance/financemagnow.com/assets/img/hero_bg.png	(from https://financemagnow.com/)
09:47:58	72315/72315	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Apr%202023%2012:50:35%20GMT	https://financemagnow.com/assets/img/Dasarte%20Yarnway.png	C:/Users/user/Desktop/frontend/finance/financemagnow.com/assets/img/Dasarte%20Yarnway.png	(from https://financemagnow.com/)
09:47:58	92886/92886	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Apr%202023%2012:50:35%20GMT	https://financemagnow.com/assets/img/Alex%20Chalekian.png	C:/Users/user/Desktop/frontend/finance/financemagnow.com/assets/img/Alex%20Chalekian.png	(from https://financemagnow.com/)
09:47:59	79085/79085	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Apr%202023%2012:50:35%20GMT	https://financemagnow.com/assets/img/Mary%20Beth.png	C:/Users/user/Desktop/frontend/finance/financemagnow.com/assets/img/Mary%20Beth.png	(from https://financemagnow.com/)
09:48:00	17800/17800	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2020%20Apr%202023%2012:50:35%20GMT	https://financemagnow.com/assets/img/FM_light.svg	C:/Users/user/Desktop/frontend/finance/financemagnow.com/assets/img/FM_light.svg	(from https://financemagnow.com/)
09:48:01	94055/94055	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Apr%202023%2012:50:35%20GMT	https://financemagnow.com/assets/img/Lawrence%20Sprung.png	C:/Users/user/Desktop/frontend/finance/financemagnow.com/assets/img/Lawrence%20Sprung.png	(from https://financemagnow.com/)
09:48:01	46705/46705	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Apr%202023%2012:50:35%20GMT	https://financemagnow.com/assets/img/TRUSTeSeal-1024x353.png	C:/Users/user/Desktop/frontend/finance/financemagnow.com/assets/img/TRUSTeSeal-1024x353.png	(from https://financemagnow.com/)
09:48:01	51483/51483	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Jul%202023%2020:47:59%20GMT	https://financemagnow.com/about.html	C:/Users/user/Desktop/frontend/finance/financemagnow.com/about.html	(from https://financemagnow.com/)
09:48:01	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2013%20Jan%202024%2008:48:01%20GMT	https://financemagnow.com/legal-4768893	C:/Users/user/Desktop/frontend/finance/financemagnow.com/legal-4768893	(from https://financemagnow.com/)
09:48:02	77646/77646	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Jul%202023%2020:50:34%20GMT	https://financemagnow.com/editorial_policy.html	C:/Users/user/Desktop/frontend/finance/financemagnow.com/editorial_policy.html	(from https://financemagnow.com/)
09:48:03	77644/77644	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Jul%202023%2020:52:44%20GMT	https://financemagnow.com/privacy_policy.html	C:/Users/user/Desktop/frontend/finance/financemagnow.com/privacy_policy.html	(from https://financemagnow.com/)
09:48:03	77647/77647	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Jul%202023%2020:49:30%20GMT	https://financemagnow.com/california_policy.html	C:/Users/user/Desktop/frontend/finance/financemagnow.com/california_policy.html	(from https://financemagnow.com/)
09:48:04	15406/15406	---M--	200	added ('OK')	image/x-icon	date:Thu,%2020%20Apr%202023%2012:50:35%20GMT	https://financemagnow.com/assets/img/favicon.ico	C:/Users/user/Desktop/frontend/finance/financemagnow.com/assets/img/favicon.ico	(from https://financemagnow.com/stocks.html)
09:48:06	31000/31000	---M-Z	200	added ('OK')	text/css	date:Sat,%2024%20Jun%202023%2013:51:47%20GMT	https://financemagnow.com/assets/fonts/font-awesome.min.css	C:/Users/user/Desktop/frontend/finance/financemagnow.com/assets/fonts/font-awesome.min.css	(from https://financemagnow.com/contact.html)
09:48:07	263/263	---M--	200	added ('OK')	text/css	date:Sat,%2024%20Jun%202023%2013:52:22%20GMT	https://financemagnow.com/assets/css/Contact-Form-v2-Modal--Full-with-Google-Map.css	C:/Users/user/Desktop/frontend/finance/financemagnow.com/assets/css/Contact-Form-v2-Modal--Full-with-Google-Map.css	(from https://financemagnow.com/contact.html)
09:48:08	78080/78080	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2020%20Apr%202023%2012:50:35%20GMT	https://financemagnow.com/assets/bootstrap/js/bootstrap.min.js	C:/Users/user/Desktop/frontend/finance/financemagnow.com/assets/bootstrap/js/bootstrap.min.js	(from https://financemagnow.com/contact.html)
09:48:09	37/37	---M--	200	added ('OK')	application/javascript	date:Sat,%2024%20Jun%202023%2013:51:22%20GMT	https://financemagnow.com/assets/js/Contact-Form-v2-Modal--Full-with-Google-Map-scripts.js	C:/Users/user/Desktop/frontend/finance/financemagnow.com/assets/js/Contact-Form-v2-Modal--Full-with-Google-Map-scripts.js	(from https://financemagnow.com/contact.html)
09:48:11	32157/32157	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jul%202023%2016:18:51%20GMT	https://financemagnow.com/assets/img/clipboard-image.png	C:/Users/user/Desktop/frontend/finance/financemagnow.com/assets/img/clipboard-image.png	(from https://financemagnow.com/about.html)
09:48:11	40303/40303	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jul%202023%2016:18:50%20GMT	https://financemagnow.com/assets/img/clipboard-image-1.png	C:/Users/user/Desktop/frontend/finance/financemagnow.com/assets/img/clipboard-image-1.png	(from https://financemagnow.com/about.html)
09:48:12	44595/44595	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jul%202023%2016:18:51%20GMT	https://financemagnow.com/assets/img/clipboard-image-2.png	C:/Users/user/Desktop/frontend/finance/financemagnow.com/assets/img/clipboard-image-2.png	(from https://financemagnow.com/about.html)
09:48:13	39922/39922	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jul%202023%2016:18:51%20GMT	https://financemagnow.com/assets/img/clipboard-image-3.png	C:/Users/user/Desktop/frontend/finance/financemagnow.com/assets/img/clipboard-image-3.png	(from https://financemagnow.com/about.html)
09:48:16	42778/42778	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jul%202023%2016:18:51%20GMT	https://financemagnow.com/assets/img/clipboard-image-4.png	C:/Users/user/Desktop/frontend/finance/financemagnow.com/assets/img/clipboard-image-4.png	(from https://financemagnow.com/about.html)
09:48:16	40400/40400	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jul%202023%2016:18:51%20GMT	https://financemagnow.com/assets/img/clipboard-image-5.png	C:/Users/user/Desktop/frontend/finance/financemagnow.com/assets/img/clipboard-image-5.png	(from https://financemagnow.com/about.html)
09:48:19	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2024%20Jun%202023%2013:51:48%20GMT	https://financemagnow.com/assets/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/user/Desktop/frontend/finance/financemagnow.com/assets/fonts/fontawesome-webfont3e6e.eot	(from https://financemagnow.com/assets/fonts/font-awesome.min.css)
09:48:20	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2024%20Jun%202023%2013:51:48%20GMT	https://financemagnow.com/assets/fonts/fontawesome-webfont.eot?	C:/Users/user/Desktop/frontend/finance/financemagnow.com/assets/fonts/fontawesome-webfontd41d.eot	(from https://financemagnow.com/assets/fonts/font-awesome.min.css)
09:48:20	77160/77160	---M--	200	added ('OK')	font/woff2	date:Sat,%2024%20Jun%202023%2013:51:48%20GMT	https://financemagnow.com/assets/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/user/Desktop/frontend/finance/financemagnow.com/assets/fonts/fontawesome-webfont3e6e.woff2	(from https://financemagnow.com/assets/fonts/font-awesome.min.css)
09:48:21	98024/98024	---M--	200	added ('OK')	font/woff	date:Sat,%2024%20Jun%202023%2013:51:48%20GMT	https://financemagnow.com/assets/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/user/Desktop/frontend/finance/financemagnow.com/assets/fonts/fontawesome-webfont3e6e.woff	(from https://financemagnow.com/assets/fonts/font-awesome.min.css)
09:48:22	165548/165548	---M--	200	added ('OK')	font/ttf	date:Sat,%2024%20Jun%202023%2013:51:49%20GMT	https://financemagnow.com/assets/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/user/Desktop/frontend/finance/financemagnow.com/assets/fonts/fontawesome-webfont3e6e.ttf	(from https://financemagnow.com/assets/fonts/font-awesome.min.css)
09:48:27	444379/444379	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2024%20Jun%202023%2013:51:50%20GMT	https://financemagnow.com/assets/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/user/Desktop/frontend/finance/financemagnow.com/assets/fonts/fontawesome-webfont3e6e.svg	(from https://financemagnow.com/assets/fonts/font-awesome.min.css)
